ZZQS-S-3113-01	ZZQS-A-3113	1	S07	ASSERTION		"禄存 主孤，宜庶出一螟蛉之子。"
ZZQS-S-3113-02	ZZQS-A-3113	2	S07	ASSERTION		"加吉星有一人。"
ZZQS-S-3113-03	ZZQS-A-3113	3	S07	ASSERTION		"加火星诸杀孤刑。"
ZZQS-S-3115-01	ZZQS-A-3115	1	S07	ASSERTION		"羊陀 陷宫孤单。"
ZZQS-S-3115-02	ZZQS-A-3115	2	S07	ASSERTION		"加吉星庙旺有一人。"
ZZQS-S-3115-03	ZZQS-A-3115	3	S07	CONDITION|NEGATION		"如对宫有吉星多无杀冲，亦有三四人。"
ZZQS-S-3115-04	ZZQS-A-3115	4	S07	ASSERTION		"见耗杀忌在本宫，绝嗣。"
ZZQS-S-3117-01	ZZQS-A-3117	1	S07	CONDITION|NEGATION|CONJUNCTION		"火星 逢吉同不孤。"
ZZQS-S-3117-02	ZZQS-A-3117	2	S07	ASSERTION		"陷宫加杀刑伤。"
ZZQS-S-3119-01	ZZQS-A-3119	1	S07	ASSERTION		"铃星 独守孤单。"
ZZQS-S-3119-02	ZZQS-A-3119	2	S07	ASSERTION		"加吉星入庙许庶出。"
ZZQS-S-3119-03	ZZQS-A-3119	3	S07	ASSERTION		"看对宫吉多，二三人。"
ZZQS-S-3121-01	ZZQS-A-3121	1	S07	ASSERTION		"魁钺 单守主有贵子。"
ZZQS-S-3123-01	ZZQS-A-3123	1	S07	CONDITION		"斗君 在子女宫过度，逢吉子女昌盛。"
ZZQS-S-3123-02	ZZQS-A-3123	2	S07	CONDITION|ALTERNATIVE		"逢凶刑克，或子破家。"
ZZQS-S-3129-01	ZZQS-A-3129	1	S07	ASSERTION		"紫微 丰足仓箱。"
ZZQS-S-3129-02	ZZQS-A-3129	2	S07	NEGATION		"加羊陀火铃空劫不旺。"
ZZQS-S-3129-03	ZZQS-A-3129	3	S07	SEQUENCE|CONJUNCTION		"破军同，先难后易。"
ZZQS-S-3129-04	ZZQS-A-3129	4	S07	CONJUNCTION		"天相同，财帛蓄积。"
ZZQS-S-3129-05	ZZQS-A-3129	5	S07	CONJUNCTION		"天府同，富足终身保守。"
ZZQS-S-3129-06	ZZQS-A-3129	6	S07	CONJUNCTION		"加左右，同为财赋之官。"
ZZQS-S-3129-07	ZZQS-A-3129	7	S07	CONJUNCTION		"七杀同，加吉，财帛横发。"
ZZQS-S-3131-01	ZZQS-A-3131	1	S07	ASSERTION		"天机 劳心费力生财。"
ZZQS-S-3131-02	ZZQS-A-3131	2	S07	CONJUNCTION		"巨门同，闹中求取。"
ZZQS-S-3131-03	ZZQS-A-3131	3	S07	CONJUNCTION		"天梁同，机关巧计生财。"
ZZQS-S-3131-04	ZZQS-A-3131	4	S07	CONJUNCTION		"太阴同，陷宫成败。"
ZZQS-S-3131-05	ZZQS-A-3131	5	S07	ASSERTION		"加羊陀火铃空劫，一生有成有败。"
ZZQS-S-3133-01	ZZQS-A-3133	1	S07	ASSERTION		"太阳 入庙丰足。"
ZZQS-S-3133-02	ZZQS-A-3133	2	S07	NEGATION		"陷宫劳碌不遂。"
ZZQS-S-3133-03	ZZQS-A-3133	3	S07	NEGATION|CONJUNCTION	发财:FINANCE_GAIN_CANDIDATE	"太阴同，加左右吉星，发财不小。"
ZZQS-S-3133-04	ZZQS-A-3133	4	S07	CONJUNCTION		"禄存同，操心得财至大富。"
ZZQS-S-3133-05	ZZQS-A-3133	5	S07	CONJUNCTION		"巨门同，早年成败，中末充盈。"
ZZQS-S-3135-01	ZZQS-A-3135	1	S07	ASSERTION		"武曲 丰足，化吉有巨万家资。"
ZZQS-S-3135-02	ZZQS-A-3135	2	S07	NEGATION		"无吉，亦闹中进财。"
ZZQS-S-3135-03	ZZQS-A-3135	3	S07	NEGATION|SEQUENCE|CONJUNCTION		"破军同，东来西去，先无后有。"
ZZQS-S-3135-04	ZZQS-A-3135	4	S07	CONDITION|CONJUNCTION		"天相同，财帛丰盈，遇贵生财成家。"
ZZQS-S-3135-05	ZZQS-A-3135	5	S07	CONJUNCTION		"七杀同，白手生财成家。"
ZZQS-S-3135-06	ZZQS-A-3135	6	S07	SEQUENCE|CONJUNCTION	发财:FINANCE_GAIN_CANDIDATE	"贪狼同，三十年后方发财。"
ZZQS-S-3135-07	ZZQS-A-3135	7	S07	NEGATION		"加羊陀火铃，不聚，极怕空亡。"
ZZQS-S-3137-01	ZZQS-A-3137	1	S07	CONJUNCTION		"天同 白手生财晚发。"
ZZQS-S-3137-02	ZZQS-A-3137	2	S07	CONJUNCTION		"巨门同，财气进退。"
ZZQS-S-3137-03	ZZQS-A-3137	3	S07	CONJUNCTION		"天梁同，财大旺。"
ZZQS-S-3137-04	ZZQS-A-3137	4	S07	ALTERNATIVE		"加四杀空劫，或九流人生财成家。"
ZZQS-S-3139-01	ZZQS-A-3139	1	S07	ASSERTION		"廉贞 在申寅宫，闹中生财。"
ZZQS-S-3139-02	ZZQS-A-3139	2	S07	SEQUENCE		"陷宫先难后遂。"
ZZQS-S-3139-03	ZZQS-A-3139	3	S07	CONJUNCTION		"贪狼同，横发横破。"
ZZQS-S-3139-04	ZZQS-A-3139	4	S07	ASSERTION		"见羊火，极生横进之财。"
ZZQS-S-3139-05	ZZQS-A-3139	5	S07	CONJUNCTION		"七杀同，闹中取。"
ZZQS-S-3139-06	ZZQS-A-3139	6	S07	CONJUNCTION		"天相同，富足仓箱。"
ZZQS-S-3139-07	ZZQS-A-3139	7	S07	ASSERTION	破财:FINANCE_LOSS_CANDIDATE	"加耗劫天空，常在官府中破财。"
ZZQS-S-3141-01	ZZQS-A-3141	1	S07	ASSERTION		"天府 富足。"
ZZQS-S-3141-02	ZZQS-A-3141	2	S07	ASSERTION		"见羊陀火铃空劫，有成败。"
ZZQS-S-3141-03	ZZQS-A-3141	3	S07	CONJUNCTION		"紫微同，巨积。"
ZZQS-S-3141-04	ZZQS-A-3141	4	S07	CONJUNCTION		"廉贞武曲同，加权禄，为富奢翁。"
ZZQS-S-3143-01	ZZQS-A-3143	1	S07	ASSERTION		"太阴 入庙富足仓箱。"
ZZQS-S-3143-02	ZZQS-A-3143	2	S07	NEGATION		"陷宫成败不聚。"
ZZQS-S-3143-03	ZZQS-A-3143	3	S07	SEQUENCE|CONJUNCTION		"太阳同，先少后多。"
ZZQS-S-3143-04	ZZQS-A-3143	4	S07	CONJUNCTION		"天机同，白手生财成家。"
ZZQS-S-3143-05	ZZQS-A-3143	5	S07	CONJUNCTION		"天同同，财旺生身。"
ZZQS-S-3143-06	ZZQS-A-3143	6	S07	CONJUNCTION		"禄存兼左右同，主大富。"
ZZQS-S-3145-01	ZZQS-A-3145	1	S07	ASSERTION		"贪狼 庙旺横发。"
ZZQS-S-3145-02	ZZQS-A-3145	2	S07	ASSERTION		"陷地贫穷。"
ZZQS-S-3145-03	ZZQS-A-3145	3	S07	SEQUENCE|CONJUNCTION		"紫微同，守见成家计，自后更丰盈。"
ZZQS-S-3145-04	ZZQS-A-3145	4	S07	SEQUENCE		"见火星，三十年前成败，后三十年横发有声名。"
ZZQS-S-3147-01	ZZQS-A-3147	1	S07	ASSERTION		"巨门 白手生财成家，宜闹中取。"
ZZQS-S-3147-02	ZZQS-A-3147	2	S07	ASSERTION		"气高之人，横破。"
ZZQS-S-3147-03	ZZQS-A-3147	3	S07	CONJUNCTION		"太阳同，入庙守见成家计。"
ZZQS-S-3147-04	ZZQS-A-3147	4	S07	NEGATION|CONJUNCTION		"天机同，财气生身，所作不一。"
ZZQS-S-3147-05	ZZQS-A-3147	5	S07	CONJUNCTION		"天同同，白手成家，九流人吉。"
ZZQS-S-3147-06	ZZQS-A-3147	6	S07	ASSERTION		"加羊陀火铃空劫，破败多端。"
ZZQS-S-3149-01	ZZQS-A-3149	1	S07	ASSERTION	富贵:STATUS_WEALTH_CANDIDATE	"天梁 富足，入庙上等富贵。"
ZZQS-S-3149-02	ZZQS-A-3149	2	S07	ASSERTION		"陷宫辛勤求财度日。"
ZZQS-S-3149-03	ZZQS-A-3149	3	S07	CONJUNCTION		"天同同，白手生财胜祖。"
ZZQS-S-3149-04	ZZQS-A-3149	4	S07	NEGATION|CONJUNCTION	发财:FINANCE_GAIN_CANDIDATE	"天机同，劳心力发财不少，更改方见成家。"
ZZQS-S-3149-05	ZZQS-A-3149	5	S07	SEQUENCE		"加羊陀火铃空劫，先难后遂，仅足度日而已。"
ZZQS-S-3151-01	ZZQS-A-3151	1	S07	ASSERTION		"天相 富足。"
ZZQS-S-3151-02	ZZQS-A-3151	2	S07	CONJUNCTION		"紫微同，财气横进。"
ZZQS-S-3151-03	ZZQS-A-3151	3	S07	CONJUNCTION		"武曲同，加四杀，百工生财。"
ZZQS-S-3151-04	ZZQS-A-3151	4	S07	CONJUNCTION		"廉贞同，商贾生财。"
ZZQS-S-3151-05	ZZQS-A-3151	5	S07	NEGATION		"加羊陀火铃空劫耗忌，成败无积聚。"
ZZQS-S-3153-01	ZZQS-A-3153	1	S07	ASSERTION	发财:FINANCE_GAIN_CANDIDATE	"七杀 在寅申子午宫，横发财。"
ZZQS-S-3153-02	ZZQS-A-3153	2	S07	NEGATION		"陷地破祖不聚。"
ZZQS-S-3153-03	ZZQS-A-3153	3	S07	NEGATION|SEQUENCE|CONJUNCTION		"武曲同，先无后有。"
ZZQS-S-3153-04	ZZQS-A-3153	4	S07	CONJUNCTION		"廉贞同，闹中生财。"
ZZQS-S-3153-05	ZZQS-A-3153	5	S07	NEGATION		"加羊陀火铃空劫，成败不遂。"
ZZQS-S-3155-01	ZZQS-A-3155	1	S07	ASSERTION		"破军 在子午宫，多有金银宝贝蓄积。"
ZZQS-S-3155-02	ZZQS-A-3155	2	S07	ASSERTION		"辰戌旺宫亦财盛。"
ZZQS-S-3155-03	ZZQS-A-3155	3	S07	NEGATION		"陷宫破祖不聚。"
ZZQS-S-3155-04	ZZQS-A-3155	4	S07	CONJUNCTION		"武曲同守巳亥宫，东来西去。"
ZZQS-S-3155-05	ZZQS-A-3155	5	S07	SEQUENCE|CONJUNCTION		"紫微同，先去后生。"
ZZQS-S-3155-06	ZZQS-A-3155	6	S07	SEQUENCE|CONJUNCTION		"廉贞同，劳碌生财，先难后遂。"
ZZQS-S-3155-07	ZZQS-A-3155	7	S07	ASSERTION		"加空劫，极贫。"
ZZQS-S-3157-01	ZZQS-A-3157	1	S07	ASSERTION		"文昌 富足仓箱。"
ZZQS-S-3157-02	ZZQS-A-3157	2	S07	ASSERTION		"加吉星财气旺。"
ZZQS-S-3157-03	ZZQS-A-3157	3	S07	CONJUNCTION		"巨门同，富。"
ZZQS-S-3157-04	ZZQS-A-3157	4	S07	CONDITION		"陷地遇陀火铃，招败贫寒儒辈。"
ZZQS-S-3159-01	ZZQS-A-3159	1	S07	ASSERTION		"文曲 入庙富足。"
ZZQS-S-3159-02	ZZQS-A-3159	2	S07	ASSERTION		"加吉星得贵人财。"
ZZQS-S-3159-03	ZZQS-A-3159	3	S07	NEGATION		"加羊陀火铃空劫耗忌，东来西去，成败不遂。"
ZZQS-S-3161-01	ZZQS-A-3161	1	S07	ASSERTION		"左辅右弼 诸宫富足。"
ZZQS-S-3161-02	ZZQS-A-3161	2	S07	CONDITION		"会诸吉星，得贵人财。"
ZZQS-S-3161-03	ZZQS-A-3161	3	S07	NEGATION		"加羊陀火铃空劫耗忌，成败不聚。"
ZZQS-S-3163-01	ZZQS-A-3163	1	S07	ASSERTION		"禄存 富足仓箱，堆金积玉。"
ZZQS-S-3163-02	ZZQS-A-3163	2	S07	NEGATION		"加吉美，不待劳而财自足。"
